Bedrooms,Bathrooms,Toilets,ParkingSpace,PropertyType,State,SalePrice
4,5,5,4,Terraced Duplexes,Lagos,140000000.0
2,3,3,4,Block of Flats,Lagos,65000000.0
6,6,7,6,Detached Duplex,Lagos,450000000.0
5,5,7,6,Detached Duplex,Lagos,1150000000.0
4,4,5,2,Terraced Duplexes,Abuja,60000000.0
4,5,5,3,Detached Duplex,Lagos,85000000.0
5,7,7,4,Detached Duplex,Abuja,165000000.0
4,5,5,4,Detached Duplex,Lagos,80000000.0
5,5,5,4,Detached Duplex,Abuja,60900000.0
5,5,6,4,Detached Duplex,Lagos,235000000.0
4,4,5,2,Detached Duplex,Lagos,70000000.0
4,4,5,3,Semi Detached Duplex,Lagos,82000000.0
4,5,5,4,Detached Bungalow,Lagos,45000000.0
4,4,5,2,Terraced Duplexes,Lagos,55000000.0
2,3,3,3,Block of Flats,Lagos,50000000.0
5,5,6,8,Detached Duplex,Lagos,150000000.0
4,4,5,4,Semi Detached Duplex,Anambara,75000000.0
5,5,6,5,Detached Duplex,Lagos,130000000.0
5,5,5,4,Detached Duplex,Lagos,190000000.0
4,4,5,4,Detached Duplex,Lagos,125000000.0
5,5,6,4,Detached Duplex,Lagos,90000000.0
5,5,6,5,Detached Duplex,Lagos,350000000.0
5,5,6,6,Detached Duplex,Lagos,850000000.0
4,4,5,1,Terraced Duplexes,Lagos,75000000.0
5,5,5,4,Detached Duplex,Lagos,250000000.0
5,5,5,4,Detached Duplex,Lagos,400000000.0
3,3,3,4,Terraced Duplexes,Lagos,31000000.0
4,5,5,4,Detached Duplex,Lagos,125000000.0
5,5,6,4,Detached Duplex,Lagos,100000000.0
4,6,6,4,Detached Duplex,Oyo,75000000.0
5,5,6,3,Terraced Duplexes,Lagos,185000000.0
4,5,5,4,Terraced Duplexes,Abuja,32000000.0
5,5,6,4,Detached Duplex,Lagos,550000000.0
5,6,6,4,Detached Duplex,Lagos,150000000.0
4,4,5,2,Terraced Duplexes,Lagos,160000000.0
4,4,5,2,Terraced Duplexes,Lagos,90000000.0
5,5,5,4,Detached Duplex,Lagos,165000000.0
1,1,1,4,Block of Flats,Oyo,35000000.0
4,5,5,4,Terraced Duplexes,Lagos,110000000.0
4,4,5,4,Semi Detached Duplex,Lagos,70000000.0
4,4,5,8,Detached Duplex,Lagos,65000000.0
4,4,5,4,Semi Detached Bungalow,Lagos,38500000.0
4,4,5,2,Detached Duplex,Lagos,75000000.0
5,5,6,4,Detached Duplex,Lagos,650000000.0
4,4,5,5,Detached Duplex,Lagos,100000000.0
5,5,6,2,Detached Duplex,Lagos,115000000.0
5,5,6,4,Detached Duplex,Lagos,190000000.0
5,5,6,4,Detached Duplex,Abuja,180000000.0
4,5,5,4,Terraced Duplexes,Lagos,75000000.0
4,4,5,5,Terraced Duplexes,Lagos,32000000.0
4,5,5,4,Block of Flats,Imo,150000000.0
5,5,6,8,Detached Bungalow,Lagos,60000000.0
4,4,5,4,Semi Detached Duplex,Lagos,450000000.0
5,5,6,9,Detached Duplex,Ogun,35000000.0
5,6,6,4,Detached Duplex,Abuja,420000000.0
2,2,2,2,Block of Flats,Ogun,5000000.0
5,5,6,5,Detached Duplex,Lagos,125000000.0
5,6,7,6,Detached Duplex,Lagos,110000000.0
5,5,5,8,Detached Duplex,Lagos,52000000.0
3,5,5,4,Block of Flats,Lagos,850000000.0
4,4,4,4,Semi Detached Duplex,Lagos,75000000.0
3,5,4,4,Detached Duplex,Lagos,130000000.0
1,4,4,4,Detached Duplex,Lagos,50000000.0
3,3,4,2,Block of Flats,Lagos,190000000.0
